pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:2,2,YOL058W,arginine,1,Sigma1278b,optimal,0.0,optimal,6.740854698067139,correct,True,,,,r_1879,
excel:3,3,YJL071W,arginine,1,S288C,optimal,0.08583536820220804,optimal,7.682337003173655,type_I,False,,,,r_1879,
excel:4,4,YJL088W,arginine,1,Other,optimal,0.0,optimal,7.682337003173609,correct,True,,,,r_1879,
excel:5,5,YHR018C,arginine,1,Other,optimal,-9.549855287800914e-31,optimal,6.74085469806732,correct,True,,,,r_1879,
excel:6,6,YER069W,arginine,1,Other,optimal,4.540561147081424e-31,optimal,7.6823370031736244,correct,True,,,,r_1879,
excel:7,7,YMR062C,arginine,1,Sigma1278b,optimal,0.0,optimal,7.682337003173631,correct,True,,,,r_1879,
excel:8,8,YLR027C,asparticacid,1,S288C,optimal,3.71114658648116e-18,optimal,6.88017646470096,correct,True,,,,r_1881,
excel:9,9,YAL012W,cysteine,1,W303,optimal,0.0,optimal,5.797737713177149,correct,True,,,,r_1883,
excel:10,10,YGR155W,cysteine,1,W303,optimal,0.0,optimal,5.797737713177266,correct,True,,,,r_1883,
excel:11,11,YPR035W,glutamine,1,Sigma1278b,optimal,0.0,optimal,9.660981083002268,correct,True,,,,r_1891,
excel:12,12,YER055C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600536479161,correct,True,,,,r_1893,
excel:13,13,YFR025C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600471625926,correct,True,,,,r_1893,
excel:14,14,YOR202W,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600471625918,correct,True,,,,r_1893,
excel:15,15,YCL030C,histidine,1,S288C,optimal,0.0,optimal,0.08657600471625967,correct,True,,,,r_1893,
excel:16,16,YIL116W,histidine,1,Other,optimal,-1.2569130801082624e-18,optimal,0.08657600536479132,correct,True,,,,r_1893,
excel:17,17,YIL020C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.0865760047162593,correct,True,,,,r_1893,
excel:18,18,YBR248C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600471625915,correct,True,,,,r_1893,
excel:19,19,YER086W,isoleucine,1,Other,optimal,0.08583536756472486,optimal,0.1563628816852271,type_I,False,,,,r_1897,
excel:20,20,YGL009C,leucine,1,Other,optimal,-2.7599306308725322e-18,optimal,0.16152100724634738,correct,True,,,,r_1899,
excel:21,21,YCL018W,leucine,1,Other,optimal,1.4557011621155536e-18,optimal,0.1615210072463468,correct,True,,,,r_1899,
excel:22,22,YIR034C,lysine,1,Other,optimal,-8.809142452744497e-19,optimal,0.0892007499554799,correct,True,,,,r_1900,
excel:23,23,YBR115C,lysine,1,Other,optimal,4.363980166798789e-31,optimal,0.08920076881319387,correct,True,,,,r_1900,
excel:24,24,YGL154C,lysine,1,Other,optimal,4.363980166798789e-31,optimal,0.08920076881319387,correct,True,,,,r_1900,
excel:25,25,YJR104C,lysine,1,Other,optimal,0.08583536804283678,optimal,0.0892007328867143,type_I,False,,,,r_1900,
