pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:2,2,YOL058W,arginine,1,Sigma1278b,optimal,-2.8849911956239003e-16,optimal,6.751850934011451,correct,True,,,,r_1879,
excel:3,3,YJL071W,arginine,1,S288C,optimal,0.0859075189938797,optimal,9.926099348452386,type_I,False,,,,r_1879,
excel:4,4,YJL088W,arginine,1,Other,optimal,1.8095250136449072e-16,optimal,9.926099348452366,correct,True,,,,r_1879,
excel:5,5,YHR018C,arginine,1,Other,optimal,-9.211449510007903e-17,optimal,6.7518509340116,correct,True,,,,r_1879,
excel:6,6,YER069W,arginine,1,Other,optimal,-7.030149374346443e-17,optimal,9.92609934845254,correct,True,,,,r_1879,
excel:7,7,YMR062C,arginine,1,Sigma1278b,optimal,-1.6368399045866791e-16,optimal,9.926099348452285,correct,True,,,,r_1879,
excel:8,8,YLR027C,asparticacid,1,S288C,optimal,0.0859075189938797,optimal,6.929940827603905,type_I,False,,,,r_1881,
excel:9,9,YAL012W,cysteine,1,W303,optimal,0.0859075189938797,optimal,5.800362217438102,type_I,False,,,,r_1883,
excel:10,10,YGR155W,cysteine,1,W303,optimal,0.0859075189938797,optimal,5.800362217438102,type_I,False,,,,r_1883,
excel:11,11,YPR035W,glutamine,1,Sigma1278b,optimal,-2.8921501890360607e-15,optimal,10.05083571343208,correct,True,,,,r_1891,
excel:12,12,YER055C,histidine,1,Other,optimal,-1.1208382849809003e-16,optimal,0.0866494378363953,correct,True,,,,r_1893,
excel:13,13,YFR025C,histidine,1,Other,optimal,1.5159800185337456e-18,optimal,0.0866494378363958,correct,True,,,,r_1893,
excel:14,14,YOR202W,histidine,1,Other,optimal,-2.552626043048683e-17,optimal,0.0866494378363963,correct,True,,,,r_1893,
excel:15,15,YCL030C,histidine,1,S288C,optimal,-5.376711495075709e-17,optimal,0.0866494378363971,correct,True,,,,r_1893,
excel:16,16,YIL116W,histidine,1,Other,optimal,2.3336012675354445e-16,optimal,0.0866494378363949,correct,True,,,,r_1893,
excel:17,17,YIL020C,histidine,1,Other,optimal,-3.726249187577497e-17,optimal,0.0866494378363965,correct,True,,,,r_1893,
excel:18,18,YBR248C,histidine,1,Other,optimal,-4.76199877123197e-17,optimal,0.0866494378363961,correct,True,,,,r_1893,
excel:19,19,YER086W,isoleucine,1,Other,optimal,0.0859075189938797,optimal,0.1563828686788194,type_I,False,,,,r_1897,
excel:20,20,YGL009C,leucine,1,Other,optimal,-1.1577766476873e-16,optimal,0.1615423347488483,correct,True,,,,r_1899,
excel:21,21,YCL018W,leucine,1,Other,optimal,1.415729235866046e-16,optimal,0.1615423347488495,correct,True,,,,r_1899,
excel:22,22,YIR034C,lysine,1,Other,optimal,-1.5099227452448584e-16,optimal,0.0892787232111078,correct,True,,,,r_1900,
excel:23,23,YBR115C,lysine,1,Other,optimal,2.454230221550878e-17,optimal,0.0892787232111089,correct,True,,,,r_1900,
excel:24,24,YGL154C,lysine,1,Other,optimal,2.454230221550878e-17,optimal,0.0892787232111089,correct,True,,,,r_1900,
excel:25,25,YJR104C,lysine,1,Other,optimal,0.0859075189938797,optimal,0.0892786908076677,type_I,False,,,,r_1900,
excel:26,26,YKR069W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,
excel:27,27,YFR030W,methionine,1,Other,optimal,5.270562801166273e-16,optimal,0.0890084996316118,correct,True,,,,r_1902,
excel:28,28,YGL125W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,
excel:29,29,YKL001C,methionine,1,Other,optimal,3.148494478122409e-15,optimal,0.089008499631621,correct,True,,,,r_1902,
excel:30,30,YPR167C,methionine,1,S288C,optimal,-2.4061159586229148e-15,optimal,0.0890084996316112,correct,True,,,,r_1902,
excel:31,31,YLR303W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0884151555186187,type_I,False,,,,r_1902,
excel:32,32,YNL277W,methionine,1,Other,optimal,1.387618832558423e-16,optimal,3.1851247286537166e-61,type_II,False,,,,r_1902,
excel:33,33,YOL064C,methionine,1,Other,optimal,0.0849267973733884,optimal,0.088681776007041,type_I,False,,,,r_1902,
excel:34,34,YJR010W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,
excel:35,35,YJR137C,methionine,1,Other,optimal,5.270562801166273e-16,optimal,0.0890084996316118,correct,True,,,,r_1902,
excel:36,36,YER091C,methionine,1,Other,optimal,-1.5709923378634656e-16,optimal,0.0890085284675262,correct,True,,,,r_1902,
excel:37,37,YOR241W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,
excel:38,38,YBR213W,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,
excel:39,39,YJR104C,methionine,1,Other,optimal,0.0859075189938797,optimal,0.0890084996316158,type_I,False,,,,r_1902,
excel:40,40,YNL241C,methionine,1,Other,optimal,0.0858518668930601,optimal,0.0890084996316157,type_I,False,,,,r_1902,
excel:41,41,YER023W,proline,1,Other,optimal,4.098323933628538e-17,optimal,7.514106827001645,correct,True,,,,r_1904,
excel:42,42,YOR184W,serine,1,Other,optimal,0.0857047797249279,optimal,8.484579037975273,type_I,False,,,,r_1906,
excel:43,43,YGR208W,serine,1,Other,optimal,0.0857047797249298,optimal,8.484579037975335,type_I,False,,,,r_1906,
excel:44,44,YHR025W,threonine,1,Other,optimal,-2.7664667376219626e-17,optimal,9.90762144956528,correct,True,,,,r_1911,
excel:45,45,YCR053W,threonine,1,S288C,optimal,-8.068482103059312e-18,optimal,9.907621449565234,correct,True,,,,r_1911,
excel:46,46,YDR007W,tryptophan,1,X2180-1A,optimal,4.3900056946161894e-18,optimal,0.1529396370901732,correct,True,,,,r_1912,
excel:47,47,YER090W,tryptophan,1,X2180-1A,optimal,-1.7560022778464758e-17,optimal,0.1529396370901719,correct,True,,,,r_1912,
excel:48,48,YKL211C,tryptophan,1,X2180-1A,optimal,-1.0975014236540472e-16,optimal,0.1529396370901722,correct,True,,,,r_1912,
excel:49,49,YDR354W,tryptophan,1,S288C,optimal,-5.268006833539427e-17,optimal,0.1529396370901716,correct,True,,,,r_1912,
excel:50,50,YGL026C,tryptophan,1,X2180-1A,optimal,4.3900056946161894e-18,optimal,0.1529396370901719,correct,True,,,,r_1912,
excel:51,51,YDR173C,ornithine,1,Sigma1278b,optimal,0.0859075189938797,optimal,6.656116799883206,type_I,False,,,,r_1987,
excel:52,52,YPL268W,ornithine,1,Other,optimal,0.0859075189938797,optimal,6.656116799883206,type_I,False,,,,r_1987,
excel:53,53,YOR184W,serine,1,Other,optimal,0.0857047797249279,optimal,8.484579037975273,type_I,False,,,,r_1906,
excel:54,54,YGR208W,serine,1,Other,optimal,0.0857047797249298,optimal,8.484579037975335,type_I,False,,,,r_1906,
excel:55,55,YDR158W,homoserine,1,Other,optimal,-1.4193640884343032e-16,optimal,5.804597424326367,correct,True,,,,r_1896,
excel:56,56,YER052C,homoserine,1,Other,optimal,1.7340348834510056e-16,optimal,5.804597424326424,correct,True,,,,r_1896,
excel:57,57,YJR139C,homoserine,1,Other,optimal,1.387618832558423e-16,optimal,5.804597424326139,correct,True,,,,r_1896,
excel:58,58,YOR303W,arginine add uracil,1,Other,optimal,-1.712497359554147e-17,optimal,9.98678179207125,correct,True,,r_2090,,r_1879,
excel:59,59,YJR109C,arginine add uracil,1,Other,optimal,-1.712497359554147e-17,optimal,9.98678179207125,correct,True,,r_2090,,r_1879,
excel:60,60,YDR127W,aromatic amino acid add folinic acid,1,Other,optimal,2.6310210586136957e-17,optimal,7.855589025753938,correct,True,,r_1625,,r_1913+r_1903+r_1912,
excel:61,61,YGL148W,aromatic amino acid add folinic acid,1,Other,optimal,-7.883359389489347e-16,optimal,7.855589025754105,correct,True,,r_1625,,r_1913+r_1903+r_1912,
excel:62,62,YPR060C,"tyrosine, phenylalanine",1,Other,optimal,9.502280227534475e-17,optimal,7.808168156287589,correct,True,,,,r_1913+r_1903,
excel:63,63,YHR208W,"valine,leucine",1,S288C,optimal,6.525529220948676e-17,optimal,0.1698834620613428,correct,True,,,,r_1914+r_1899,
excel:64,64,YMR108W,"valine,isoleucine",1,Other,optimal,-4.34110861945589e-16,optimal,0.173914095206654,correct,True,,,,r_1914+r_1897,
excel:65,65,YJR016C,"valine,isoleucine",1,Other,optimal,-4.795870329708539e-16,optimal,0.1739140952066544,correct,True,,,,r_1914+r_1897,
excel:66,66,YLR355C,"valine,isoleucine",1,Other,optimal,7.385632405641091e-17,optimal,0.1739140952066532,correct,True,,,,r_1914+r_1897,
excel:67,67,YGR204W,"histidine, adenine",1,Other,optimal,-9.538889015183517e-14,optimal,1.3584644408778417e-07,type_II,False,,,,r_1893+r_1639,
excel:68,68,YDR158W,"methionine, threonine",1,Other,optimal,-1.4193640884343032e-16,optimal,4.065814017846596e-24,type_II,False,,,,r_1902+r_1911,
excel:69,69,YER052C,"methionine, threonine",1,Other,optimal,1.7340348834510056e-16,optimal,1.706977498534215e-24,type_II,False,,,,r_1902+r_1911,
excel:70,70,YJR139C,"methionine, threonine",1,Other,optimal,1.387618832558423e-16,optimal,3.617341334400733e-26,type_II,False,,,,r_1902+r_1911,
excel:71,71,YOR236W,"adenine, histidine, methionine add folinic acid",1,Other,optimal,1.6436568745556421e-16,optimal,0.0,type_II,False,,r_1625,,r_1639+r_1893+r_1902,
excel:72,72,YPR074C and YBR117C,aromatic amino acid add folinic acid,2,W303,optimal,-1.0295878664982338e-15,optimal,7.841468120855363,correct,True,,r_1625,,r_1913+r_1903+r_1912,
excel:73,73,YDL131W and YDL182W,lysine,2,Other,optimal,-7.982024062320433e-17,optimal,0.0892787232111077,correct,True,,,,r_1900,
excel:74,74,YNL104C and YOR108W,leucine,2,S288C,optimal,6.991115886395086e-17,optimal,0.1615423347488552,correct,True,,,,r_1899,
excel:75,75,YDR196C,pantothenate,1,W303,optimal,-9.56525269140718e-13,optimal,0.0,type_II,False,,,,r_1548,
excel:76,76,YBR176W,pantothenate,1,S288C,optimal,-4.0581309585042e-12,optimal,0.0859108439716179,correct,True,,,,r_1548,
excel:77,77,YIL145C,pantothenate,1,Other,optimal,-3.767707157404894e-13,optimal,0.0859108439716187,correct,True,,,,r_1548,
