pair_id,excel_row_original,gene_field_original,chemical_original,n_genes_original,strain_background_original,ko_status_original,ko_growth_original,rescue_status_original,rescue_growth_original,classification_original,correct_original,missing_genes_original,mapped_background_original,missing_background_original,mapped_rescue_original,missing_rescue_original,excel_row_curated,gene_field_curated,chemical_curated,n_genes_curated,strain_background_curated,ko_status_curated,ko_growth_curated,rescue_status_curated,rescue_growth_curated,classification_curated,correct_curated,missing_genes_curated,mapped_background_curated,missing_background_curated,mapped_rescue_curated,missing_rescue_curated,change
excel:2,2,YOL058W,arginine,1,Sigma1278b,optimal,-2.8849911956239003e-16,optimal,6.751850934011451,correct,True,,,,r_1879,,2,YOL058W,arginine,1,Sigma1278b,optimal,0.0,optimal,6.740854698067139,correct,True,,,,r_1879,,unchanged
excel:3,3,YJL071W,arginine,1,S288C,optimal,0.0859075189938797,optimal,9.926099348452386,type_I,False,,,,r_1879,,3,YJL071W,arginine,1,S288C,optimal,0.08583536820220804,optimal,7.682337003173655,type_I,False,,,,r_1879,,unchanged
excel:4,4,YJL088W,arginine,1,Other,optimal,1.8095250136449072e-16,optimal,9.926099348452366,correct,True,,,,r_1879,,4,YJL088W,arginine,1,Other,optimal,0.0,optimal,7.682337003173609,correct,True,,,,r_1879,,unchanged
excel:5,5,YHR018C,arginine,1,Other,optimal,-9.211449510007903e-17,optimal,6.7518509340116,correct,True,,,,r_1879,,5,YHR018C,arginine,1,Other,optimal,-9.549855287800914e-31,optimal,6.74085469806732,correct,True,,,,r_1879,,unchanged
excel:6,6,YER069W,arginine,1,Other,optimal,-7.030149374346443e-17,optimal,9.92609934845254,correct,True,,,,r_1879,,6,YER069W,arginine,1,Other,optimal,4.540561147081424e-31,optimal,7.6823370031736244,correct,True,,,,r_1879,,unchanged
excel:7,7,YMR062C,arginine,1,Sigma1278b,optimal,-1.6368399045866791e-16,optimal,9.926099348452285,correct,True,,,,r_1879,,7,YMR062C,arginine,1,Sigma1278b,optimal,0.0,optimal,7.682337003173631,correct,True,,,,r_1879,,unchanged
excel:8,8,YLR027C,asparticacid,1,S288C,optimal,0.0859075189938797,optimal,6.929940827603905,type_I,False,,,,r_1881,,8,YLR027C,asparticacid,1,S288C,optimal,3.71114658648116e-18,optimal,6.88017646470096,correct,True,,,,r_1881,,fixed
excel:9,9,YAL012W,cysteine,1,W303,optimal,0.0859075189938797,optimal,5.800362217438102,type_I,False,,,,r_1883,,9,YAL012W,cysteine,1,W303,optimal,0.0,optimal,5.797737713177149,correct,True,,,,r_1883,,fixed
excel:10,10,YGR155W,cysteine,1,W303,optimal,0.0859075189938797,optimal,5.800362217438102,type_I,False,,,,r_1883,,10,YGR155W,cysteine,1,W303,optimal,0.0,optimal,5.797737713177266,correct,True,,,,r_1883,,fixed
excel:11,11,YPR035W,glutamine,1,Sigma1278b,optimal,-2.8921501890360607e-15,optimal,10.05083571343208,correct,True,,,,r_1891,,11,YPR035W,glutamine,1,Sigma1278b,optimal,0.0,optimal,9.660981083002268,correct,True,,,,r_1891,,unchanged
excel:12,12,YER055C,histidine,1,Other,optimal,-1.1208382849809003e-16,optimal,0.0866494378363953,correct,True,,,,r_1893,,12,YER055C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600536479161,correct,True,,,,r_1893,,unchanged
excel:13,13,YFR025C,histidine,1,Other,optimal,1.5159800185337456e-18,optimal,0.0866494378363958,correct,True,,,,r_1893,,13,YFR025C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600471625926,correct,True,,,,r_1893,,unchanged
excel:14,14,YOR202W,histidine,1,Other,optimal,-2.552626043048683e-17,optimal,0.0866494378363963,correct,True,,,,r_1893,,14,YOR202W,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600471625918,correct,True,,,,r_1893,,unchanged
excel:15,15,YCL030C,histidine,1,S288C,optimal,-5.376711495075709e-17,optimal,0.0866494378363971,correct,True,,,,r_1893,,15,YCL030C,histidine,1,S288C,optimal,0.0,optimal,0.08657600471625967,correct,True,,,,r_1893,,unchanged
excel:16,16,YIL116W,histidine,1,Other,optimal,2.3336012675354445e-16,optimal,0.0866494378363949,correct,True,,,,r_1893,,16,YIL116W,histidine,1,Other,optimal,-1.2569130801082624e-18,optimal,0.08657600536479132,correct,True,,,,r_1893,,unchanged
excel:17,17,YIL020C,histidine,1,Other,optimal,-3.726249187577497e-17,optimal,0.0866494378363965,correct,True,,,,r_1893,,17,YIL020C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.0865760047162593,correct,True,,,,r_1893,,unchanged
excel:18,18,YBR248C,histidine,1,Other,optimal,-4.76199877123197e-17,optimal,0.0866494378363961,correct,True,,,,r_1893,,18,YBR248C,histidine,1,Other,optimal,1.3627215840512122e-18,optimal,0.08657600471625915,correct,True,,,,r_1893,,unchanged
excel:19,19,YER086W,isoleucine,1,Other,optimal,0.0859075189938797,optimal,0.1563828686788194,type_I,False,,,,r_1897,,19,YER086W,isoleucine,1,Other,optimal,0.08583536756472486,optimal,0.1563628816852271,type_I,False,,,,r_1897,,unchanged
excel:20,20,YGL009C,leucine,1,Other,optimal,-1.1577766476873e-16,optimal,0.1615423347488483,correct,True,,,,r_1899,,20,YGL009C,leucine,1,Other,optimal,-2.7599306308725322e-18,optimal,0.16152100724634738,correct,True,,,,r_1899,,unchanged
excel:21,21,YCL018W,leucine,1,Other,optimal,1.415729235866046e-16,optimal,0.1615423347488495,correct,True,,,,r_1899,,21,YCL018W,leucine,1,Other,optimal,1.4557011621155536e-18,optimal,0.1615210072463468,correct,True,,,,r_1899,,unchanged
excel:22,22,YIR034C,lysine,1,Other,optimal,-1.5099227452448584e-16,optimal,0.0892787232111078,correct,True,,,,r_1900,,22,YIR034C,lysine,1,Other,optimal,-8.809142452744497e-19,optimal,0.0892007499554799,correct,True,,,,r_1900,,unchanged
